Riding,district
Beaches?East York,35007
Davenport,35018
Don Valley East,35019
Don Valley North,35020
Don Valley West,35021
Eglinton?Lawrence,35024
Etobicoke Centre,35027
Etobicoke North,35029
Etobicoke?Lakeshore,35028
Humber River?Black Creek,35121
Parkdale?High Park,35081
Scarborough Centre,35094
Scarborough North,35096
Scarborough Southwest,35098
Scarborough?Agincourt,35093
Scarborough?Guildwood,35095
Scarborough?Rouge Park,35097
Spadina?Fort York,35101
Toronto Centre,35108
Toronto?Danforth,35109
Toronto?St. Paul's,35090
University?Rosedale,35110
Willowdale,35115
York Centre,35118
York South?Weston,35120
